2015-04-09 10:58:33,621 | INFO  | Listening for connections at: tcp://Cjhox:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-04-09 10:58:33,621 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2015-04-09 10:58:33,621 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:Cjhox-38574-1428569913387-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-04-09 10:58:33,699 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2015-04-09 10:58:33,981 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2015-04-09 10:58:34,121 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-04-09 10:58:34,309 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
2015-04-09 10:58:34,371 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.util.log | main
2015-04-09 10:58:34,465 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.util.log | main
2015-04-09 10:58:34,621 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.util.log | main
2015-04-09 10:59:28,705 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:38578
2015-04-09 11:00:35,490 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:38581
2015-04-09 11:04:54,860 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:38603
2015-04-09 11:07:37,680 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:38607
